Title,Image URL,Year,Time,Audience Type,Rating,Vote Count,Metacritic Score,Content,Director,Stars,Movie Link
1. Iron Man,"https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2008,2h 6m,12A,7.9,(1.1M),79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,Jon Favreau,https://www.imdb.com/title/tt0371746/?ref_=ls_t_1
2. The Incredible Hulk,"https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2008,1h 52m,12A,6.6,(529K),61,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",Louis Leterrier,Robert Downey Jr.,https://www.imdb.com/title/tt0800080/?ref_=ls_t_2
3. Iron Man 2,"https://m.media-amazon.com/images/M/MV5BZGVkNDAyM2EtYzYxYy00ZWUxLTgwMjgtY2VmODE5OTk3N2M5XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UY207_CR0,0,140,207_.jpg",2010,2h 4m,12A,6.9,(878K),57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,Gwyneth Paltrow,https://www.imdb.com/title/tt1228705/?ref_=ls_t_3
4. Thor,"https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2011,1h 55m,12A,7.0,(909K),57,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,Terrence Howard,https://www.imdb.com/title/tt0800369/?ref_=ls_t_4
5. Captain America: The First Avenger,"https://m.media-amazon.com/images/M/MV5BNzAxMjg0NjYtNjNlOS00NTdlLThkMGEtMjAwYjk3NmNkOGFhXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UY207_CR3,0,140,207_.jpg",2011,2h 4m,12A,6.9,(906K),66,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Joe Johnston,Louis Leterrier,https://www.imdb.com/title/tt0458339/?ref_=ls_t_5
6. Avengers Assemble,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",2012,2h 23m,12A,8.0,(1.5M),69,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Edward Norton,https://www.imdb.com/title/tt0848228/?ref_=ls_t_6
7. Iron Man 3,"https://m.media-amazon.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2013,2h 10m,12A,7.1,(908K),62,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,Liv Tyler,https://www.imdb.com/title/tt1300854/?ref_=ls_t_7
8. Thor: The Dark World,"https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg",2013,1h 52m,12A,6.8,(732K),54,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Alan Taylor,Tim Roth,https://www.imdb.com/title/tt1981115/?ref_=ls_t_8
9. Captain America: The Winter Soldier,"https://m.media-amazon.com/images/M/MV5BYzMyN2I0NjMtYmZhZS00MWJkLWE1MTktNGM2ZDhmNDE1ZDc0XkEyXkFqcGdeQXVyNDg2NzE0MjE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2014,2h 16m,12A,7.7,(908K),70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Anthony Russo,Jon Favreau,https://www.imdb.com/title/tt1843866/?ref_=ls_t_9
10. Guardians of the Galaxy,"https://m.media-amazon.com/images/M/MV5BNDIzMTk4NDYtMjg5OS00ZGI0LWJhZDYtMzdmZGY1YWU5ZGNkXkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_QL75_UX140_CR0,0,140,207_.jpg",2014,2h 1m,12A,8.0,(1.3M),76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Joe Russo,Robert Downey Jr.,https://www.imdb.com/title/tt2015381/?ref_=ls_t_10
11. Avengers: Age of Ultron,"https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,2h 21m,12A,7.3,(933K),66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",James Gunn,Mickey Rourke,https://www.imdb.com/title/tt2395427/?ref_=ls_t_11
12. Ant-Man,"https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,1h 57m,12A,7.2,(730K),64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Joss Whedon,Gwyneth Paltrow,https://www.imdb.com/title/tt0478970/?ref_=ls_t_12
13. Captain America: Civil War,"https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2016,2h 27m,12A,7.8,(861K),75,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Peyton Reed,Kenneth Branagh,https://www.imdb.com/title/tt3498820/?ref_=ls_t_13
14. Doctor Strange,"https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2016,1h 55m,12A,7.5,(816K),72,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Anthony Russo,Chris Hemsworth,https://www.imdb.com/title/tt1211837/?ref_=ls_t_14
15. Guardians of the Galaxy: Vol. 2,"https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 16m,12A,7.6,(769K),67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",Joe Russo,Anthony Hopkins,https://www.imdb.com/title/tt3896198/?ref_=ls_t_15
16. Spider-Man: Homecoming,"https://m.media-amazon.com/images/M/MV5BODY2MTAzOTQ4M15BMl5BanBnXkFtZTgwNzg5MTE0MjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 13m,12A,7.4,(730K),73,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,Scott Derrickson,Natalie Portman,https://www.imdb.com/title/tt2250912/?ref_=ls_t_16
17. Thor: Ragnarok,"https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2017,2h 10m,12A,7.9,(827K),74,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",James Gunn,Joe Johnston,https://www.imdb.com/title/tt3501632/?ref_=ls_t_17
18. Black Panther,"https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,2h 14m,12A,7.3,(847K),88,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Jon Watts,Chris Evans,https://www.imdb.com/title/tt1825683/?ref_=ls_t_18
19. Avengers: Infinity War,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,2h 29m,12A,8.4,(1.2M),68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Taika Waititi,Hugo Weaving,https://www.imdb.com/title/tt4154756/?ref_=ls_t_19
20. Ant-Man and the Wasp,"https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",2018,1h 58m,12A,7.0,(456K),70,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Ryan Coogler,Samuel L. Jackson,https://www.imdb.com/title/tt5095030/?ref_=ls_t_20
21. Captain Marvel,"https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,2h 3m,PG-13,6.8,(618K),64,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Anthony Russo,Joss Whedon,https://www.imdb.com/title/tt4154664/?ref_=ls_t_21
22. Avengers: Endgame,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,3h 1m,12A,8.4,(1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Joe Russo,Robert Downey Jr.,https://www.imdb.com/title/tt4154796/?ref_=ls_t_22
23. Spider-Man: Far from Home,"https://m.media-amazon.com/images/M/MV5BODA5MTY0OWUtNjdlOC00NDI5LWE3NjYtNDM4MDI2MzE4OWUxXkEyXkFqcGdeQXVyOTAzODkzMjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",2019,2h 9m,12A,7.4,(568K),69,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",Peyton Reed,Chris Evans,https://www.imdb.com/title/tt6320628/?ref_=ls_t_23
24. Guardians of the Galaxy Vol. 3,"https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2023,2h 30m,12A,7.9,(394K),64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",Anna Boden,Scarlett Johansson,https://www.imdb.com/title/tt6791350/?ref_=ls_t_24
25. Black Widow,"https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2021,2h 14m,12A,6.6,(433K),68,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Ryan Fleck,Shane Black,https://www.imdb.com/title/tt3480822/?ref_=ls_t_25
1. Snow White and the Seven Dwarfs,"https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1937,1h 23m,A,7.6,(218K),96,"This is a list of films from Walt Disney Animation Studios and formerly known as Walt Disney Feature Animation, Walt Disney Productions and Disney Brothers Cartoon Studio, which creates animated feature films for The Walt Disney Company.",William Cottrell,William Cottrell,https://www.imdb.com/title/tt0029583/?ref_=ls_t_1
